id,id,lat,lon,risk,risk_all_pois,risk_river,risk_elevation,river_dist,river_dist_normalized,RL,inside,has_edu,edu_type,is_road,is_river,urban_prob,elevation,slope
138,1369,38.68459934640523,-9.222555000000002,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,True,0,0,0
139,1370,38.68459934640523,-9.221511666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,True,0,0,0
140,1371,38.68459934640523,-9.220468333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,True,0,0,0
141,1372,38.68459934640523,-9.219425000000001,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,True,0,0,0
142,1373,38.68459934640523,-9.218381666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,True,0,0,0
143,1374,38.68459934640523,-9.217338333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,True,0,0,0
144,1375,38.68459934640523,-9.216295,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,True,0,0,0
145,1376,38.68459934640523,-9.215251666666667,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,True,0,0,0
146,1377,38.68459934640523,-9.214208333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,True,0,0,0
147,1378,38.68459934640523,-9.213165000000002,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,True,0,0,0
148,1379,38.68459934640523,-9.212121666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
149,1380,38.68459934640523,-9.211078333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
150,1381,38.68459934640523,-9.210035000000001,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
151,1382,38.68459934640523,-9.208991666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
152,1383,38.68459934640523,-9.207948333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
153,1384,38.68459934640523,-9.206905,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
154,1385,38.68459934640523,-9.205861666666667,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
155,1386,38.68459934640523,-9.204818333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
156,1387,38.68459934640523,-9.203775,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
157,1388,38.68459934640523,-9.202731666666669,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
158,1507,38.68540980392157,-9.235075000000002,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
159,1508,38.68540980392157,-9.234031666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
160,1509,38.68540980392157,-9.232988333333335,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
161,1510,38.68540980392157,-9.231945000000001,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
162,1511,38.68540980392157,-9.230901666666668,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
163,1512,38.68540980392157,-9.229858333333334,2.595304118306806,1,0,2.595304118306806,None,None,3,True,False,0,False,False,0,0,0
