id,id,lat,lon,risk,risk_all_pois,risk_river,risk_elevation,river_dist,river_dist_normalized,RL,inside,has_edu,edu_type,is_road,is_river,urban_prob,elevation,slope,hrdiff
398,1873,41.14620625,-8.64891170212766,3.45463923169078,1,1.0,2.45463923169078,8101.350356542418,0.7390857338095098,2,True,False,0,False,True,0.55,-1,0.011111111111111112,0
399,1887,41.14620625,-8.633809574468085,3.3208167982296612,1,1.0,2.3208167982296612,6961.896286627526,0.6351334036001169,2,True,False,0,True,True,1,1,0.044444444444444446,0
400,1888,41.14620625,-8.63273085106383,3.1931821711237016,1,1.0,2.1931821711237016,6882.194979565112,0.6278622578746107,2,True,False,0,True,True,1,5,0.05555555555555555,0
401,1889,41.14620625,-8.631652127659574,2.98447329300207,1,1.0,1.9844732930020703,6802.761359526499,0.6206155332211124,2,True,False,0,True,True,1,5,0.15555555555555556,0
402,1890,41.14620625,-8.630573404255319,2.212797037161505,1,1.0,1.2127970371615049,6723.604914008188,0.6133940951833897,3,True,False,0,True,True,1,19,0.4888888888888889,0
403,1891,41.14620625,-8.629494680851064,1.5890213021813642,1,1.0,0.5890213021813642,6644.735548683415,0.6061988474554506,3,True,False,0,True,True,1,63,0.7111111111111111,0
404,1892,41.14620625,-8.628415957446808,1.6509692132978917,1,1.0,0.6509692132978917,6566.163608349858,0.599030733792601,3,True,False,0,True,True,1,63,0.6111111111111112,0
405,1893,41.14620625,-8.627337234042553,1.3882087295651788,1,1.0,0.3882087295651788,6487.899898956069,0.5918907400209145,3,True,False,0,False,True,0.55,86,0.8666666666666667,0
406,1894,41.14620625,-8.626258510638298,1.3969321582213727,1,1.0,0.3969321582213727,6409.955710756933,0.5847798961497044,3,True,False,0,True,True,1,86,0.8444444444444444,0
407,1895,41.14620625,-8.625179787234043,1.434269092121066,1,1.0,0.43426909212106585,6332.342842640719,0.5776992785908788,3,True,False,0,False,True,0.55,82,0.8,0
408,1896,41.14620625,-8.624101063829787,1.4907263262791157,1,1.0,0.49072632627911583,6255.073627677146,0.5706500124896888,3,True,False,0,True,True,1,82,0.6777777777777778,0
409,1897,41.14620625,-8.623022340425532,1.128091363363622,1,0.6373650370845062,0.49072632627911583,6178.160959927226,0.56363327417059,3,True,False,0,False,False,0.55,82,0.6777777777777778,61
410,1898,41.14620625,-8.621943617021277,0.9195216751186521,1,0.4062341905050235,0.5132874846136286,6101.618322561078,0.5566502937024277,3,True,False,0,False,False,0.55,80,0.6555555555555556,40
411,1899,41.14620625,-8.620864893617021,0.9989258262688936,1,0.36499033645752965,0.6339354898113639,6025.459817319854,0.5497023575862482,3,True,False,0,True,False,1,80,0.4444444444444444,40
412,1900,41.14620625,-8.619786170212766,1.1622091809712534,1,0.5282736911598895,0.6339354898113639,5949.700195361346,0.5427908115693404,3,True,False,0,True,False,1,80,0.4444444444444444,34
413,1901,41.14620625,-8.61870744680851,1.3139570296435552,1,0.6363185940631532,0.677638435580402,5874.354889516774,0.5359170635880219,3,True,False,0,True,False,1,80,0.37777777777777777,34
414,1902,41.14620625,-8.617628723404255,1.215311735816634,1,0.6363185940631532,0.578993141753481,5799.4400479870465,0.5290825868417461,3,True,False,0,True,False,1,87,0.45555555555555555,6
415,1903,41.14620625,-8.61655,1.4717575639770153,1,0.6363185940631532,0.8354389699138621,5724.972569491808,0.5222889229997485,3,True,False,0,True,False,1,87,0.08888888888888889,6
416,1904,41.14620625,-8.615471276595745,1.2404035689521982,1,0.6363185940631532,0.604084974889045,5650.9701398819,0.5155376855411986,3,True,False,0,True,False,1,95,0.32222222222222224,6
417,1905,41.14620625,-8.61439255319149,1.4274086757971687,1,0.6363185940631532,0.7910900817340154,5577.45127020689,0.5088305632280993,3,True,False,0,True,False,1,83,0.18888888888888888,17
418,1906,41.14620625,-8.613313829787234,1.4274086757971687,1,0.6363185940631532,0.7910900817340154,5504.43533622202,0.5021693237095031,3,True,False,0,True,False,1,83,0.18888888888888888,17
419,1907,41.14620625,-8.612235106382979,1.4862507266598555,1,0.5282716030898456,0.9579791235700099,5431.942619294704,0.49555581725340936,3,True,False,0,True,False,1,73,0.1111111111111111,7
420,1908,41.14620625,-8.611156382978724,1.3953512878589858,1,0.40490135315193615,0.9904499347070496,5359.99434865731,0.4889919806014838,3,True,False,0,True,False,1,73,0.07777777777777778,7
421,1909,41.14620625,-8.610077659574468,1.2511693470185903,1,0.40490135315193615,0.8462679938666542,5288.612744921946,0.48247984093890933,3,True,False,0,True,False,1,80,0.15555555555555556,8
422,1910,41.14620625,-8.608998936170213,1.2234253821423715,1,0.40490135315193615,0.8185240289904353,5217.821064751722,0.47602151996974335,3,True,False,0,True,False,1,80,0.18888888888888888,8
423,1911,41.14620625,-8.607920212765958,1.1274287067940083,1,0.40490135315193615,0.7225273536420722,5147.643646543353,0.46961923808453854,3,True,False,0,True,False,1,90,0.2,-7
424,1912,41.14620625,-8.606841489361702,1.1772390964320172,1,0.40490135315193615,0.772337743280081,5078.10595694485,0.46327531860414933,3,True,False,0,True,False,1,90,0.13333333333333333,-7
425,1913,41.14620625,-8.605762765957447,1.0787855688014987,1,0.40490135315193615,0.6738842156495625,5009.234637981708,0.4569921920790515,3,True,False,0,True,False,1,102,0.13333333333333333,8
426,1914,41.14620625,-8.604684042553192,1.0713394105576006,1,0.40490135315193615,0.6664380574056644,4941.0575545218835,0.4507724006195692,3,True,False,0,True,False,1,102,0.14444444444444443,8
427,1915,41.14620625,-8.603605319148937,1.0420466360715985,1,0.40490135315193615,0.6371452829196623,4873.603841746584,0.44461860222663246,3,True,False,0,True,False,1,104,0.16666666666666666,15
428,1916,41.14620625,-8.602526595744681,1.0420466360715985,1,0.40490135315193615,0.6371452829196623,4806.903952236534,0.4385335750874546,3,True,False,0,True,False,1,104,0.16666666666666666,15
429,1917,41.14620625,-8.601447872340426,1.0013291340532868,1,0.36418385113362456,0.6371452829196623,4740.989702205168,0.4325202217933839,3,True,False,0,True,False,1,104,0.16666666666666666,15
430,1918,41.14620625,-8.60036914893617,1.0243914446789455,1,0.27906978359468493,0.7453216610842606,4675.894316336745,0.4265815734304818,3,True,False,0,True,False,1,99,0.06666666666666667,10
431,1919,41.14620625,-8.599290425531915,1.0029679208570776,1,0.25764625977281697,0.7453216610842606,4611.6524705927295,0.4207207934847473,3,True,False,0,True,False,1,99,0.06666666666666667,6
432,1920,41.14620625,-8.59821170212766,1.0029679208570776,1,0.25764625977281697,0.7453216610842606,4548.3003322592995,0.4149411814956482,3,True,False,0,True,False,1,99,0.06666666666666667,6
433,1921,41.14620625,-8.597132978723405,1.0549535215812278,1,0.25764625977281697,0.7973072618084107,4485.875596397626,0.40924617638147853,3,True,False,0,True,False,1,96,0.03333333333333333,1
434,1922,41.14620625,-8.59605425531915,1.0288146804251337,1,0.25764625977281697,0.7711684206523167,4424.417517751847,0.40363935935032075,3,True,False,0,True,False,1,96,0.06666666666666667,1
435,1923,41.14620625,-8.594975531914894,0.962512323499858,1,0.25764625977281697,0.7048660637270411,4363.966937044033,0.3981244562989344,3,True,False,0,True,False,1,100,0.1111111111111111,10
436,1924,41.14620625,-8.593896808510639,0.962512323499858,1,0.25764625977281697,0.7048660637270411,4304.566300466415,0.3927053395910306,3,True,False,0,True,False,1,100,0.1111111111111111,10
437,1925,41.14620625,-8.592818085106384,1.0288146804251337,1,0.25764625977281697,0.7711684206523167,4246.259671046962,0.38738602909415343,3,True,False,0,True,False,1,96,0.06666666666666667,4
438,1926,41.14620625,-8.591739361702128,1.0461435867251159,1,0.25764625977281697,0.788497326952299,4189.092730441489,0.38217069234317347,3,True,False,0,True,False,1,96,0.044444444444444446,4
439,1927,41.14620625,-8.590660638297873,1.0105196190114476,1,0.2395459132730445,0.7709737057384031,4133.112769574205,0.3770636436864256,3,True,False,0,True,False,1,97,0.05555555555555555,5
440,1928,41.14620625,-8.589581914893618,0.871037928229781,1,0.19630231128386197,0.674735616945919,4078.3686664365773,0.3720693422603007,3,True,False,0,True,False,1,97,0.18888888888888888,5
441,1929,41.14620625,-8.588503191489362,0.6782334493858063,1,0.1551319686833684,0.5231014807024379,4024.9108492447804,0.36719238862810194,3,True,False,0,True,False,1,93,0.4888888888888889,44
442,1930,41.14620625,-8.587424468085107,1.0415772043289797,1,0.25764625977281697,0.7839309445561627,3972.7912430777405,0.36243751991183654,3,True,False,0,True,False,1,75,0.28888888888888886,26
443,1931,41.14620625,-8.586345744680852,0.8603326489956077,1,0.2395459132730445,0.6207867357225632,3922.063198057238,0.3578096032400903,3,True,False,0,True,False,1,75,0.5222222222222223,47
444,1932,41.14620625,-8.585267021276596,1.0466404382889758,1,0.19630231128386197,0.8503381270051139,3872.78139711892,0.3533136273339827,3,True,True,1,True,False,1,61,0.36666666666666664,33
445,1933,41.14620625,-8.584188297872341,0.9977616035733646,1,0.14742347656825072,0.8503381270051139,3825.0017414478716,0.3489546920554603,3,True,False,0,True,False,1,61,0.36666666666666664,33
446,1934,41.14620625,-8.583109574468086,1.598477835971226,1,0.3649866827726974,1.2334911531985284,3778.781211745285,0.34473799575066305,3,True,False,0,True,False,1,40,0.23333333333333334,27
447,1935,41.14620625,-8.58203085106383,1.6822111928820218,1,0.5282716030900931,1.1539395897919287,3734.177703645483,0.34066882023502837,3,True,False,0,True,False,1,40,0.3,27
448,1936,41.14620625,-8.580952127659575,2.5683121854901687,1,1.0,1.5683121854901687,3691.249835844674,0.33675251328888867,3,True,True,1,True,True,1,13,0.3,0
449,1937,41.14620625,-8.57987340425532,3.0249713565716134,1,1.0,2.0249713565716134,3650.056729825996,0.3329944685617994,2,True,False,0,True,True,1,13,0.044444444444444446,0
450,1938,41.14620625,-8.578794680851065,3.0486309016256605,1,1.0,2.0486309016256605,3610.657760495182,0.3294001028230448,2,True,False,0,True,True,1,11,0.05555555555555555,0
