set,min_dissim,mean_dissim,max_jaccard_top,mean_jaccard_top,mean_abs_diff
"('S05', 'S06', 'S09', 'S11')",0.18548199504094165,0.40813930318776526,0.7042801556420234,0.3237409748635767,0.1891790587395716
"('S05', 'S06', 'S07', 'S11')",0.18548199504094165,0.40809126680129604,0.7042801556420234,0.24487054363652536,0.15171525656935728
"('S02', 'S05', 'S08', 'S11')",0.18548199504094165,0.4072314949496979,0.7042801556420234,0.33163424508033007,0.1655116655220886
"('S05', 'S06', 'S11', 'S12')",0.18548199504094165,0.40712329941311554,0.7042801556420234,0.32300607079345595,0.1860552030881164
"('S03', 'S05', 'S06', 'S11')",0.18548199504094165,0.39718137684638166,0.7042801556420234,0.3196831333563038,0.1624630760671544
"('S02', 'S05', 'S07', 'S11')",0.18548199504094165,0.3872635612637265,0.7042801556420234,0.27093480419695304,0.13885092231485993
"('S02', 'S05', 'S11', 'S12')",0.18548199504094165,0.3835343286759524,0.7042801556420234,0.3394085422111262,0.17326148587016846
"('S02', 'S05', 'S09', 'S11')",0.18548199504094165,0.37562750950939894,0.7042801556420234,0.3401570030772887,0.17637839753781948
"('S01', 'S02', 'S05', 'S11')",0.18548199504094165,0.3722584232043785,0.7042801556420234,0.2799226433186553,0.1393794958785676
"('S02', 'S03', 'S05', 'S11')",0.18548199504094165,0.3607724341433366,0.7042801556420234,0.33543818077873183,0.15141212820870933
"('S01', 'S05', 'S08', 'S11')",0.18548199504094165,0.3327910977689571,0.7042801556420234,0.39508521798133117,0.10197802767287321
"('S03', 'S05', 'S07', 'S11')",0.18548199504094165,0.32998520688866984,0.7042801556420234,0.3721579375368562,0.13166987479754663
"('S05', 'S07', 'S08', 'S11')",0.18548199504094165,0.3293127985138904,0.7042801556420234,0.3855740763803029,0.11044220964881502
"('S03', 'S05', 'S08', 'S11')",0.18548199504094165,0.32170668005935,0.7042801556420234,0.49831843881811727,0.1564097564249913
"('S05', 'S07', 'S11', 'S12')",0.18548199504094165,0.31405390901354036,0.7042801556420234,0.3886025414427862,0.11815247529584211
"('S05', 'S07', 'S09', 'S11')",0.18548199504094165,0.3134399773595392,0.7042801556420234,0.38937439868937423,0.12131913101465691
"('S01', 'S03', 'S05', 'S11')",0.18548199504094165,0.30596024458075544,0.7042801556420234,0.38176561037842177,0.13181135752150516
"('S01', 'S05', 'S11', 'S12')",0.18548199504094165,0.304157258107438,0.7042801556420234,0.4005708534872037,0.1090383267132924
"('S01', 'S05', 'S09', 'S11')",0.18548199504094165,0.29501413429025114,0.7042801556420234,0.40155872568903356,0.11219588523446618
"('S03', 'S05', 'S11', 'S12')",0.18548199504094165,0.29234946637480863,0.7042801556420234,0.504524887789939,0.1641595767730712
"('S03', 'S05', 'S09', 'S11')",0.18548199504094165,0.2789387507296016,0.7042801556420234,0.5058347772654278,0.1672625314165602
"('S04', 'S06', 'S08', 'S11')",0.1594487297744317,0.4488413477809873,0.6976744186046512,0.31933743271669207,0.17803486891714823
"('S04', 'S06', 'S07', 'S11')",0.1594487297744317,0.4350346202080898,0.6976744186046512,0.24616460877064925,0.15625925560906548
