set,min_dissim,mean_dissim,max_jaccard_top,mean_jaccard_top,mean_abs_diff
"('S01', 'S05', 'S07', 'S11')",0.10351546570756653,0.39432224553092476,0.7131681877444589,0.2983444789162713,0.09010569869609475
"('S01', 'S04', 'S07', 'S08')",0.10351546570756653,0.38925535629375985,0.7131681877444589,0.2790485964851818,0.10509760464729423
"('S01', 'S03', 'S04', 'S07')",0.10351546570756653,0.3853542109437845,0.7131681877444589,0.323581554044996,0.12475561776081841
"('S01', 'S06', 'S07', 'S09')",0.10351546570756653,0.38264588459599647,0.7131681877444589,0.28857373426940663,0.18875713431832208
"('S01', 'S03', 'S05', 'S07')",0.10351546570756653,0.37611722810988957,0.7131681877444589,0.3148887024407154,0.11757805534570759
"('S01', 'S05', 'S06', 'S07')",0.10351546570756653,0.3754201956905022,0.7131681877444589,0.3027198645355849,0.1330784765238511
"('S01', 'S02', 'S04', 'S07')",0.10351546570756653,0.3730601373373895,0.7131681877444589,0.3546760139220813,0.1253575770524643
"('S01', 'S02', 'S07', 'S08')",0.10351546570756653,0.37225461586257436,0.7131681877444589,0.3153987745385392,0.15912816744322958
"('S01', 'S06', 'S07', 'S08')",0.10351546570756653,0.3670535396461684,0.7131681877444589,0.28143172275657524,0.17396199879541405
"('S01', 'S02', 'S03', 'S07')",0.10351546570756653,0.3656678959005336,0.7131681877444589,0.3657586219817465,0.12769570093849753
"('S01', 'S06', 'S07', 'S12')",0.10351546570756653,0.3635026091489256,0.7131681877444589,0.2898913488036063,0.18503717987157287
"('S01', 'S02', 'S07', 'S09')",0.10351546570756653,0.35893203705945453,0.7131681877444589,0.3303657795859453,0.17391592441641643
"('S01', 'S02', 'S05', 'S07')",0.10351546570756653,0.35677002435425087,0.7131681877444589,0.3442506610322665,0.11859596769404056
"('S01', 'S05', 'S07', 'S08')",0.10351546570756653,0.3550646606289559,0.7131681877444589,0.27830215258225005,0.1041575077617269
"('S01', 'S02', 'S07', 'S12')",0.10351546570756653,0.35155861827262447,0.7131681877444589,0.331854960750074,0.17020334851938843
"('S01', 'S04', 'S07', 'S12')",0.10351546570756653,0.350855177637141,0.7131681877444589,0.2963078026081711,0.11390601726402998
"('S01', 'S04', 'S07', 'S09')",0.10351546570756653,0.34722798574954994,0.7131681877444589,0.2935100742131136,0.1175020546307634
"('S01', 'S05', 'S07', 'S09')",0.10351546570756653,0.3410666569965256,0.7131681877444589,0.28941572418334016,0.11854547916240533
"('S01', 'S05', 'S07', 'S12')",0.10351546570756653,0.33373824583671674,0.7131681877444589,0.29226837505222775,0.11487269877788904
"('S01', 'S07', 'S08', 'S09')",0.10351546570756653,0.33156183993422983,0.7131681877444589,0.30984262341645885,0.11903884038779851
"('S04', 'S05', 'S06', 'S08')",0.09001883965536517,0.5386647881006181,0.8074277854195323,0.2892806925097034,0.17796790104964058
"('S02', 'S04', 'S05', 'S08')",0.09001883965536517,0.533697902690593,0.8074277854195323,0.29585001889553364,0.1640607874727133
"('S04', 'S05', 'S06', 'S09')",0.09001883965536517,0.5218521175148292,0.8074277854195323,0.29473310810299563,0.1906585990776614
"('S04', 'S05', 'S06', 'S12')",0.09001883965536517,0.5205283126957474,0.8074277854195323,0.2986383671167152,0.18719102638975282
"('S04', 'S05', 'S06', 'S11')",0.09001883965536517,0.518429122738983,0.8074277854195323,0.3661407002371376,0.14806470951452688
"('S02', 'S04', 'S05', 'S12')",0.09001883965536517,0.49841636019301516,0.8074277854195323,0.3132042536670492,0.17328391281282554
"('S02', 'S04', 'S05', 'S09')",0.09001883965536517,0.48797030835185595,0.8074277854195323,0.3091274280234006,0.17674410695101295
"('S03', 'S04', 'S05', 'S06')",0.09001883965536517,0.48326956669754473,0.8074277854195323,0.33144837654594045,0.15640679849893938
