set,min_dissim,mean_dissim,max_jaccard_top,mean_jaccard_top,mean_abs_diff,table,n_candidates,min_cri_iqr
"('S02', 'S05', 'S09', 'S10')",0.0857180868512184,0.14149660274651854,0.8,0.7216317148548677,0.07556896697031425,T2g,12,0.20785747670623045
"('S02', 'S05', 'S09', 'S11')",0.0857180868512184,0.14482483007255587,0.7804878048780488,0.693463377946656,0.07680297054021278,T2g,12,0.20785747670623045
"('S02', 'S05', 'S09', 'S13')",0.0857180868512184,0.1271003135848071,0.9071117561683599,0.7441964186566917,0.056867412139568176,T2g,12,0.20785747670623045
"('S02', 'S05', 'S09', 'S14')",0.07883782409716122,0.11673076765895063,0.8691322901849218,0.757271709664774,0.05458997827124027,T2g,12,0.20303061349854445
"('S02', 'S05', 'S09', 'S15')",0.0002668978058465443,0.09807496255439385,0.9878971255673222,0.7843716230008463,0.04963218299541972,T2g,12,0.20785747670623045
"('S02', 'S05', 'S10', 'S11')",0.06077532560841181,0.165523257897792,0.804945054945055,0.6994832308734638,0.08521941675018278,T2g,12,0.20785747670623045
"('S02', 'S05', 'S10', 'S13')",0.10456581846142321,0.16466227088621732,0.9071117561683599,0.7330828927970683,0.07903508337595674,T2g,12,0.20785747670623045
"('S02', 'S05', 'S10', 'S14')",0.08804075314286508,0.15776139063637273,0.8099173553719008,0.7103359612369541,0.07690980145432136,T2g,12,0.20303061349854445
"('S02', 'S05', 'S10', 'S15')",0.08668845236477773,0.14132888399968246,0.8,0.7231327875184871,0.07520247756353211,T2g,12,0.20785747670623045
"('S02', 'S05', 'S11', 'S13')",0.10456581846142321,0.17506554778668504,0.9071117561683599,0.6995881255109314,0.07996974768736666,T2g,12,0.20785747670623045
"('S02', 'S05', 'S11', 'S14')",0.08804075314286508,0.16624674569191067,0.8099173553719008,0.6837288936200551,0.07805303763158151,T2g,12,0.20303061349854445
"('S02', 'S05', 'S11', 'S15')",0.08668845236477773,0.14455279440632862,0.7804878048780488,0.6942049459252795,0.07635562113042892,T2g,12,0.20785747670623045
"('S02', 'S05', 'S13', 'S14')",0.057976932218684274,0.1183756174517564,0.9071117561683599,0.7448048387848606,0.05007351466882475,T2g,12,0.20303061349854445
"('S02', 'S05', 'S13', 'S15')",0.08668845236477773,0.12695091151882687,0.9071117561683599,0.744196418656692,0.05560781710917564,T2g,12,0.20785747670623045
"('S02', 'S05', 'S14', 'S15')",0.07907639448750281,0.1166086164340413,0.8664772727272727,0.7572149317596573,0.05349385760188449,T2g,12,0.20303061349854445
"('S02', 'S06', 'S08', 'S09')",0.017537917976032324,0.0965129500789762,0.8611898016997167,0.8000192405850618,0.048116365103119396,T2g,12,0.20495139918266808
"('S02', 'S06', 'S08', 'S10')",0.017537917976032324,0.13672654778914806,0.8611898016997167,0.7549030079841116,0.06733967549835301,T2g,12,0.20495139918266808
"('S02', 'S06', 'S08', 'S11')",0.017537917976032324,0.13980103499132046,0.8611898016997167,0.729693088196167,0.06882203085335985,T2g,12,0.20495139918266808
"('S02', 'S06', 'S08', 'S13')",0.017537917976032324,0.11020036970953884,0.8611898016997167,0.7477234292570597,0.04616778274697167,T2g,12,0.20495139918266808
"('S02', 'S06', 'S08', 'S14')",0.017537917976032324,0.11646629268709574,0.8611898016997167,0.7600933168616546,0.04697460008523552,T2g,12,0.20303061349854445
"('S02', 'S06', 'S08', 'S15')",0.017537917976032324,0.09593247899479429,0.8611898016997167,0.8004049655895531,0.04699147618892075,T2g,12,0.20495139918266808
"('S02', 'S06', 'S09', 'S10')",0.017537917976032324,0.15056538694885646,0.8611898016997167,0.7217393981361192,0.07390371832882563,T2g,12,0.20495139918266808
"('S02', 'S06', 'S09', 'S11')",0.017537917976032324,0.15342109494317502,0.8611898016997167,0.6994553673710283,0.07540833503460469,T2g,12,0.20495139918266808
"('S02', 'S06', 'S09', 'S13')",0.017537917976032324,0.12762748183434158,0.8611898016997167,0.7217322205337754,0.055827943054664965,T2g,12,0.20495139918266808
"('S02', 'S06', 'S09', 'S14')",0.017537917976032324,0.12386114388826419,0.8691322901849218,0.7599058032928561,0.0546458696213474,T2g,12,0.20303061349854445
"('S02', 'S06', 'S09', 'S15')",0.0002668978058465443,0.10239486780010687,0.9878971255673222,0.8044753764191652,0.04912336816139241,T2g,12,0.20495139918266808
"('S02', 'S06', 'S10', 'S11')",0.017537917976032324,0.17854298163352833,0.8611898016997167,0.6854791501607688,0.08261053602431391,T2g,12,0.20495139918266808
"('S02', 'S06', 'S10', 'S13')",0.017537917976032324,0.16961289800086865,0.8611898016997167,0.6906226245370845,0.07678136907079275,T2g,12,0.20495139918266808
"('S02', 'S06', 'S10', 'S14')",0.017537917976032324,0.16931522573080315,0.8611898016997167,0.6929739847279691,0.0757514475841677,T2g,12,0.20303061349854445
"('S02', 'S06', 'S10', 'S15')",0.017537917976032324,0.15007224811051245,0.8611898016997167,0.7232404707997389,0.07347941750924403,T2g,12,0.20495139918266808
"('S02', 'S06', 'S11', 'S13')",0.017537917976032324,0.1795436555696176,0.8611898016997167,0.6630121633940683,0.07798664651808321,T2g,12,0.20495139918266808
"('S02', 'S06', 'S11', 'S14')",0.017537917976032324,0.17732806145462254,0.8611898016997167,0.6722512232541907,0.0771652968973084,T2g,12,0.20303061349854445
"('S02', 'S06', 'S11', 'S15')",0.017537917976032324,0.15282363918543973,0.8611898016997167,0.700196935349652,0.07490317421202136,T2g,12,0.20495139918266808
"('S02', 'S06', 'S13', 'S14')",0.017537917976032324,0.12138783659338337,0.8611898016997167,0.7048709808717072,0.0495409403552565,T2g,12,0.20303061349854445
"('S02', 'S06', 'S13', 'S15')",0.017537917976032324,0.1271526596768533,0.8611898016997167,0.7217322205337754,0.054510536611472954,T2g,12,0.20495139918266808
"('S02', 'S06', 'S14', 'S15')",0.017537917976032324,0.12341357257184671,0.8664772727272727,0.7598490253877391,0.05349193753919216,T2g,12,0.20303061349854445
"('S02', 'S08', 'S09', 'S10')",0.06849760526256565,0.13609080785638372,0.8377622377622378,0.735500695596005,0.0717922458846597,T2g,12,0.20785747670623045
"('S02', 'S08', 'S09', 'S11')",0.06849760526256565,0.13956743739625577,0.8377622377622378,0.7134456757539956,0.07334615008760928,T2g,12,0.20785747670623045
"('S02', 'S08', 'S09', 'S13')",0.06849760526256565,0.135948810182692,0.8377622377622378,0.739092256667493,0.058246937959961435,T2g,12,0.20785747670623045
"('S02', 'S08', 'S09', 'S14')",0.06849760526256565,0.1277190841475534,0.8691322901849218,0.7632483142981984,0.05481337941987451,T2g,12,0.20303061349854445
"('S02', 'S08', 'S09', 'S15')",0.0002668978058465443,0.09712597051998106,0.9878971255673222,0.8107893675485688,0.04814131871429236,T2g,12,0.20785747670623045
"('S02', 'S08', 'S10', 'S11')",0.06077532560841181,0.15555419674413562,0.8377622377622378,0.7069167648742182,0.07957245812028607,T2g,12,0.20785747670623045
"('S02', 'S08', 'S10', 'S13')",0.06849760526256565,0.16879909900674572,0.8377622377622378,0.7154299670012843,0.07822447101905676,T2g,12,0.20785747670623045
"('S02', 'S08', 'S10', 'S14')",0.06849760526256565,0.16403803864761912,0.8377622377622378,0.7037638020637932,0.07494306442566236,T2g,12,0.20303061349854445
"('S02', 'S08', 'S10', 'S15')",0.06849760526256565,0.1356682234879134,0.8377622377622378,0.7370017682596243,0.07152147510511152,T2g,12,0.20785747670623045
"('S02', 'S08', 'S11', 'S13')",0.06849760526256565,0.1793507781210485,0.8377622377622378,0.6880485167813498,0.07947903596351776,T2g,12,0.20785747670623045
"('S02', 'S08', 'S11', 'S14')",0.06849760526256565,0.172671795916992,0.8377622377622378,0.6832700515130967,0.0764062012359736,T2g,12,0.20303061349854445
"('S02', 'S08', 'S11', 'S15')",0.06849760526256565,0.13904053610839429,0.8377622377622378,0.7141872437326192,0.07299451930505936,T2g,12,0.20785747670623045
"('S02', 'S08', 'S13', 'S14')",0.057976932218684274,0.1389065569510226,0.8377622377622378,0.7192595368813638,0.05326302454621356,T2g,12,0.20303061349854445
"('S02', 'S08', 'S13', 'S15')",0.06849760526256565,0.13554454249507764,0.8377622377622378,0.739092256667493,0.05708306155680284,T2g,12,0.20785747670623045
"('S02', 'S08', 'S14', 'S15')",0.06849760526256565,0.12734206730101005,0.8664772727272727,0.7631915363930816,0.05381297737775268,T2g,12,0.20303061349854445
"('S02', 'S09', 'S10', 'S11')",0.06077532560841181,0.14691333681400487,0.804945054945055,0.690272317927335,0.07830372623588708,T2g,12,0.20785747670623045
"('S02', 'S09', 'S10', 'S13')",0.0938562647387704,0.16396529124956327,0.7732793522267206,0.7030320321562552,0.08002959526110623,T2g,12,0.20785747670623045
"('S02', 'S09', 'S10', 'S14')",0.07883782409716122,0.14917196996680238,0.8691322901849218,0.7171695623732504,0.07475929789613041,T2g,12,0.20303061349854445
"('S02', 'S09', 'S10', 'S15')",0.0002668978058465443,0.11986969241124079,0.9878971255673222,0.7546654529674921,0.06579833101193934,T2g,12,0.20785747670623045
"('S02', 'S09', 'S11', 'S13')",0.10255375513702114,0.17429819115601208,0.7450199203187251,0.6785764709591744,0.08130642155633945,T2g,12,0.20785747670623045
"('S02', 'S09', 'S11', 'S14')",0.07883782409716122,0.1575869480283214,0.8691322901849218,0.6996017008454073,0.07624469605721387,T2g,12,0.20303061349854445
"('S02', 'S09', 'S11', 'S15')",0.0002668978058465443,0.12302322582386793,0.9878971255673222,0.7347768174633406,0.06729363656265942,T2g,12,0.20785747670623045
"('S02', 'S09', 'S13', 'S14')",0.057976932218684274,0.1276287612353002,0.8691322901849218,0.7398376983155286,0.05617537549390229,T2g,12,0.20303061349854445
"('S02', 'S09', 'S13', 'S15')",0.0002668978058465443,0.12333428438349925,0.9878971255673222,0.7639283425000686,0.05445603494085135,T2g,12,0.20785747670623045
"('S02', 'S09', 'S14', 'S15')",0.0002668978058465443,0.10509954826579737,0.9878971255673222,0.813831317380143,0.049197059990219776,T2g,12,0.20303061349854445
"('S02', 'S10', 'S11', 'S13')",0.06077532560841181,0.19205676896024704,0.804945054945055,0.6860541966836561,0.0892628452099104,T2g,12,0.20785747670623045
"('S02', 'S10', 'S11', 'S14')",0.06077532560841181,0.17881419150856825,0.804945054945055,0.6712572040016928,0.08435327165747736,T2g,12,0.20303061349854445
"('S02', 'S10', 'S11', 'S15')",0.06077532560841181,0.1464737677719813,0.804945054945055,0.6921292335650867,0.07865268354795422,T2g,12,0.20785747670623045
